+---------------------------------------------------------+
|                                                         |
|           ////////                 ****///              |
|       ///////////////          ********////////         |
|   *//////////////////////   ***********////////////     |
|   *****//////////////////////**********////////////     |
|   *********//////////////////////******////////////     |
|   ************ /////////////////////** ////////////     |
|   ************    ////////////////     ////////////     |
|   ************        /////////        ////////////     |
|   ************            /            ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|   ************                         ////////////     |
|    ***********                         ///////////      |
|        *******                         //////           |
|             **                         //               |
|                                                         |
|         MaCh3D, Revolution in Material Testing          |
|     Made in Italy with passion for materials world      |
|                     Since Aug, 2020                     |
|                                                         |
+---------------------------------------------------------+
|             MaCh S/N:              |
|                 MaCh FW  version: 0.0.0                  |
|                 MaChWare version: 1.0.0                  |
+---------------------------------------------------------+

2023-06-05
11:25:12

+---------------------------------------------------------+
|                         ROUTINE                         |
+---------------------------------------------------------+

ID;;0
Name;;
Description;;
STR1 GF;;0.0010
STR2 GF;;0.0010
LOAD cpr th;(N);-4999
LOAD ext th;(N);4999
EXTS cpr th;(mm);0.00
EXTS ext th;(mm);0.00
STR1 cpr th;(mm/mm);0.00
STR1 ext th;(mm/mm);0.00
STR2 cpr th;(mm/mm);0.00
STR2 ext th;(mm/mm);0.00
TMP1 low th;(deg_C);0.0
TMP1 high th;(deg_C);0.0
TMP2 low th;(deg_C);0.0
TMP2 high th;(deg_C);0.0

+---------------------------------------------------------+
WIDTH;THICKNESS;INTERAXIS;EXTS_LENGTH;CS_LENGTH
[12.91, 12.9, 12.94];[2.84, 2.88, 2.87];122.3;57.0;50.0

TIME;DISP;LOAD;EXTS;ENC1;ENC2;STR1;STR2;TMP1;TMP2
-;-;ON;ON;ON;OFF;OFF;OFF;ON;OFF
(ms);(mm);(N);(mm);(mm);(mm);(mm/mm);(mm/mm);(deg_C);(deg_C)

3000.0;0.23430640914450002;50.354102044672;0.02512832;0.0041106387569210525;0.0004408477192982456;1.3614838511458878;0.020191125571727753
3200.0;0.2507682177495;53.859767376895995;0.02649344;0.004399442416657895;0.00046479719298245616;1.4562707015421203;0.021717892959713936
3400.0;0.2672300263545;57.684129557503994;0.029628159999999997;0.004688246076394737;0.0005197922807017543;1.5596745383380104;0.0232885479927063
3600.0;0.284240561913;61.667840162303996;0.031195519999999997;0.004986676524789474;0.0005472898245614035;1.6673868683337296;0.02493548020720482
3800.0;0.300702370518;69.157216099328;0.03276288;0.005275480184526315;0.0005747873684210527;1.8698860487256812;0.0267105121165514
4000.0;0.3177129060765;73.14092670412799;0.03427968;0.005573910632921053;0.0006013978947368421;1.9775983787214;0.028645997866988182
4200.0;0.3341747146815;77.602682581504;0.03786944;0.005862714292657895;0.0006643761403508771;2.0982361883166054;0.03073536604642868
4400.0;0.35118525024;82.144112670976;0.039790719999999995;0.006161144741052632;0.0006980828070175438;2.221028244511725;0.03295261040329933
4600.0;0.367647058845;91.46599548620799;0.041712;0.006449948400789473;0.0007317894736842105;2.473075096701707;0.03527045622467995
4800.0;0.38410886745;96.40579663615999;0.043633279999999997;0.0067387520605263155;0.0007654961403508771;2.6066383858963986;0.03766162693500519
5000.0;0.4011194030085;100.867552513536;0.047374719999999995;0.007037182508921053;0.0008311354385964911;2.727276195491604;0.04010666161775589
5200.0;0.41758121161350004;105.648005239296;0.049194879999999996;0.007325986168657895;0.0008630680701754385;2.856530991486467;0.04258999228477478
5400.0;0.434591747172;115.52760753919999;0.051116159999999994;0.007624416617052631;0.0008967747368421052;3.1236575698758497;0.04510640352964401
5600.0;0.451053555777;120.865779749632;0.05318912;0.007913220276789474;0.0009331424561403508;3.2679920920701133;0.047649409621953964
5800.0;0.4680640913355;126.20395196006399;0.05733504;0.00821165072518421;0.001005877894736842;3.4123266142643764;0.05022028833627701
6000.0;0.4845258999405;131.4624499584;0.059407999999999996;0.008500454384921053;0.0010422456140350876;3.5545068898587258;0.052816420793533325
6200.0;0.501536435499;141.82009753088;0.06153152;0.00879888483331579;0.001079500350877193;3.834558947847595;0.055439092218875885
6400.0;0.517998244104;146.75989868083198;0.06355392;0.009087688493052632;0.001114981052631579;3.9681222370422864;0.05808699131011963
6600.0;0.534460052709;151.77937404288;0.06759872;0.009376492152789474;0.001185942456140351;4.103839772836893;0.060757506638765335
6800.0;0.5514705882675;156.79884940492798;0.06967168;0.009674922601184209;0.0012223101754385965;4.239557308631498;0.0634506344795227
7000.0;0.5679323968725001;167.23617118950398;0.07184576;0.009963726260921055;0.0012604519298245612;4.521763613220282;0.06616376340389252
7200.0;0.584942932431;172.81336603622398;0.0740704;0.01026215670931579;0.001299480701754386;4.672560875214288;0.06889299303293228
7400.0;0.601404741036;178.390560882944;0.07867136;0.01055096036905263;0.001380199298245614;4.823358137208295;0.07163575291633606
7600.0;0.6184152765945;183.569384669184;0.08074432;0.010849390817447369;0.0014165670175438595;4.963384166202729;0.07438687235116959
7800.0;0.6348770851995;188.748208455424;0.08291839999999999;0.011138194477184211;0.0014547087719298244;5.103410195197164;0.07714502513408661
8000.0;0.651887620758;199.02618181580797;0.08499136;0.011436624925578948;0.0014910764912280702;5.381308006586119;0.07990505546331406
8200.0;0.668349429363;204.52370245043198;0.08726655999999999;0.01172542858531579;0.0015309922807017543;5.529951021980211;0.08266311138868332
